Price,Year
1490000,01/04/17
1220000,01/04/17
1420000,01/04/17
1515000,01/04/17
670000,01/04/17
530000,01/04/17
540000,01/04/17
1925000,01/04/17
515000,01/04/17
717000,01/04/17
1675000,01/04/17
2008000,01/04/17
720000,01/04/17
836000,01/04/17
2110000,01/04/17
1386000,01/04/17
355000,01/04/17
1123100,01/04/17
1270000,01/04/17
,01/04/17
1610000,01/04/17
1435000,01/04/17
1431000,01/04/17
996000,01/04/17
955000,01/04/17
1810000,01/04/17
880000,01/04/17
835000,01/04/17
1445000,01/04/17
1435000,01/04/17
1340000,01/04/17
,01/04/17
1400000,01/04/17
,01/04/17
775000,01/04/17
1220000,01/04/17
1130000,01/04/17
1460000,01/04/17
,01/04/17
3000000,01/04/17
1410000,01/04/17
1110000,01/04/17
1090000,01/04/17
710000,01/04/17
985000,01/04/17
500500,01/04/17
490000,01/04/17
,01/04/17
,01/04/17
,01/04/17
1958000,01/04/17
2137000,01/04/17
2975000,01/04/17
457000,01/04/17
,01/04/17
,01/04/17
1120000,01/04/17
560000,01/04/17
1685000,01/04/17
625000,01/04/17
1470000,01/04/17
860000,01/04/17
900000,01/04/17
398000,01/04/17
576000,01/04/17
,01/04/17
525000,01/04/17
740000,01/04/17
1265000,01/04/17
1460000,01/04/17
935000,01/04/17
780000,01/04/17
1375000,01/04/17
1235000,01/04/17
1520000,01/04/17
835000,01/04/17
,01/04/17
2100500,01/04/17
1470000,01/04/17
2410000,01/04/17
1775000,01/04/17
295000,01/04/17
629000,01/04/17
406000,01/04/17
825000,01/04/17
581500,01/04/17
1400000,01/04/17
1538000,01/04/17
1354000,01/04/17
886000,01/04/17
4000000,01/04/17
1010000,01/04/17
697500,01/04/17
800000,01/04/17
,01/04/17
1805000,01/04/17
1400000,01/04/17
1032500,01/04/17
1005000,01/04/17
412000,01/04/17
797500,01/04/17
490000,01/04/17
,01/04/17
960000,01/04/17
356500,01/04/17
580500,01/04/17
573000,01/04/17
385000,01/04/17
475000,01/04/17
746000,01/04/17
965000,01/04/17
455500,01/04/17
610000,01/04/17
307000,01/04/17
