Price,Year
415000,03/09/2016
1275000,03/09/2016
1455000,03/09/2016
2000000,03/09/2016
1110000,03/09/2016
1085000,03/09/2016
781000,03/09/2016
857500,03/09/2016
,03/09/2016
599000,03/09/2016
,03/09/2016
455000,03/09/2016
2650000,03/09/2016
1820000,03/09/2016
995000,03/09/2016
670000,03/09/2016
795000,03/09/2016
962000,03/09/2016
1310000,03/09/2016
850000,03/09/2016
1819000,03/09/2016
,03/09/2016
2100000,03/09/2016
1255000,03/09/2016
1315000,03/09/2016
3230000,03/09/2016
1080000,03/09/2016
1450000,03/09/2016
1305000,03/09/2016
1545000,03/09/2016
945000,03/09/2016
1455000,03/09/2016
636000,03/09/2016
1275000,03/09/2016
875000,03/09/2016
1230000,03/09/2016
,03/09/2016
1410000,03/09/2016
990000,03/09/2016
1057000,03/09/2016
825000,03/09/2016
940000,03/09/2016
1442000,03/09/2016
1294000,03/09/2016
758000,03/09/2016
1620000,03/09/2016
870000,03/09/2016
645000,03/09/2016
661000,03/09/2016
,03/09/2016
1635000,03/09/2016
,03/09/2016
1940000,03/09/2016
,03/09/2016
1850000,03/09/2016
1060000,03/09/2016
,03/09/2016
1952000,03/09/2016
428000,03/09/2016
1026000,03/09/2016
521500,03/09/2016
851000,03/09/2016
1300000,03/09/2016
1235000,03/09/2016
1590000,03/09/2016
2650000,03/09/2016
1615000,03/09/2016
2950000,03/09/2016
820000,03/09/2016
795000,03/09/2016
722500,03/09/2016
1365000,03/09/2016
1750000,03/09/2016
1577500,03/09/2016
1802000,03/09/2016
752000,03/09/2016
670000,03/09/2016
870000,03/09/2016
758000,03/09/2016
1408000,03/09/2016
675000,03/09/2016
1300000,03/09/2016
1230000,03/09/2016
,03/09/2016
854000,03/09/2016
999000,03/09/2016
570000,03/09/2016
1270000,03/09/2016
,03/09/2016
784000,03/09/2016
845000,03/09/2016
750000,03/09/2016
890000,03/09/2016
1260000,03/09/2016
855000,03/09/2016
495000,03/09/2016
465000,03/09/2016
362000,03/09/2016
392000,03/09/2016
725000,03/09/2016
