Suburb ,Type,Date
Abbotsford,h,01/04/2017
Abbotsford,h,01/04/2017
Abbotsford,h,01/04/2017
Aberfeldie,h,01/04/2017
Airport West,h,01/04/2017
Airport West,t,01/04/2017
Airport West,u,01/04/2017
Albert Park,h,01/04/2017
Albion,u,01/04/2017
Albion,h,01/04/2017
Alphington,h,01/04/2017
Alphington,h,01/04/2017
Altona North,h,01/04/2017
Armadale,u,01/04/2017
Armadale,h,01/04/2017
Armadale,h,01/04/2017
Armadale,u,01/04/2017
Ascot Vale,h,01/04/2017
Ashburton,u,01/04/2017
Ashburton,h,01/04/2017
Ashburton,t,01/04/2017
Ashwood,h,01/04/2017
Aspendale,h,01/04/2017
Aspendale Gardens,h,01/04/2017
Balwyn,u,01/04/2017
Balwyn,h,01/04/2017
Bayswater North,h,01/04/2017
Beaumaris,u,01/04/2017
Beaumaris,h,01/04/2017
Beaumaris,h,01/04/2017
Bentleigh,h,01/04/2017
Bentleigh,h,01/04/2017
Bentleigh East,h,01/04/2017
Bentleigh East,u,01/04/2017
Bentleigh East,t,01/04/2017
Bentleigh East,h,01/04/2017
Bentleigh East,h,01/04/2017
Bentleigh East,h,01/04/2017
Black Rock,t,01/04/2017
Black Rock,h,01/04/2017
Blackburn,h,01/04/2017
Blackburn,h,01/04/2017
Blackburn North,h,01/04/2017
Blackburn South,u,01/04/2017
Bonbeach,h,01/04/2017
Braybrook,h,01/04/2017
Braybrook,h,01/04/2017
Brighton,t,01/04/2017
Brighton,h,01/04/2017
Brighton East,h,01/04/2017
Brighton East,h,01/04/2017
Brighton East,h,01/04/2017
Brighton East,h,01/04/2017
Broadmeadows,h,01/04/2017
Brunswick,h,01/04/2017
Brunswick,h,01/04/2017
Brunswick,h,01/04/2017
Brunswick,t,01/04/2017
Brunswick,h,01/04/2017
Brunswick,u,01/04/2017
Brunswick East,h,01/04/2017
Brunswick East,h,01/04/2017
Brunswick West,t,01/04/2017
Brunswick West,u,01/04/2017
Brunswick West,h,01/04/2017
Brunswick West,h,01/04/2017
Bundoora,t,01/04/2017
Bundoora,h,01/04/2017
Burwood,h,01/04/2017
Burwood East,t,01/04/2017
Burwood East,h,01/04/2017
Burwood East,u,01/04/2017
Camberwell,t,01/04/2017
Camberwell,h,01/04/2017
Camberwell,h,01/04/2017
Camberwell,u,01/04/2017
Camberwell,h,01/04/2017
Camberwell,h,01/04/2017
Carlton North,h,01/04/2017
Carlton North,h,01/04/2017
Carnegie,h,01/04/2017
Carnegie,u,01/04/2017
Caroline Springs,h,01/04/2017
Caroline Springs,t,01/04/2017
Carrum,h,01/04/2017
Carrum Downs,h,01/04/2017
Caulfield East,h,01/04/2017
Caulfield South,h,01/04/2017
Chadstone,h,01/04/2017
Chelsea,u,01/04/2017
Clayton,h,01/04/2017
Clayton,t,01/04/2017
Clayton,t,01/04/2017
Clayton South,h,01/04/2017
Clifton Hill,h,01/04/2017
Clifton Hill,h,01/04/2017
Clifton Hill,h,01/04/2017
Coburg,h,01/04/2017
Coburg,h,01/04/2017
Coburg,u,01/04/2017
