Suburb,Year,Price
ABBOTSFORD,2016,1187500
ABERFELDIE,2016,1300000
AINTREE,2016,607500
AIREYS INLET,2016,715000
AIRPORT WEST,2016,742000
ALBANVALE,2016,439000
ALBERT PARK,2016,1775000
ALBION,2016,593000
ALEXANDRA,2016,275000
ALFREDTON,2016,375000
ALLANSFORD,2016,275000
ALPHINGTON,2016,1272500
ALTONA,2016,825000
ALTONA EAST,2016,795000
ALTONA MEADOWS,2016,495000
ALTONA NORTH,2016,726000
ANGLESEA,2016,652500
APOLLO BAY,2016,480000
ARARAT,2016,204500
ARDEER,2016,517500
ARMADALE,2016,2367500
ARMSTRONG CREEK,2016,450000
ASCOT (GREATER BENDIGO),2016,370000
ASCOT VALE,2016,1010000
ASHBURTON,2016,1567500
ASHWOOD,2016,1230000
ASPENDALE,2016,891000
ASPENDALE GARDENS,2016,775000
ATTWOOD,2016,660000
AVENEL,2016,250000
AVOCA,2016,165000
AVONDALE HEIGHTS,2016,750000
AVONSLEIGH,2016,501000
BACCHUS MARSH,2016,376000
BADGER CREEK,2016,379000
BAIRNSDALE,2016,255000
BALACLAVA,2016,1242500
BALCOMBE,2016,950000
BALLAN,2016,370000
BALLARAT CENTRAL,2016,385000
BALLARAT EAST,2016,295000
BALLARAT NORTH,2016,339500
BALNARRING,2016,670000
BALNARRING BEACH,2016,904000
BALWYN,2016,2180000
BALWYN NORTH,2016,1800000
BANNOCKBURN,2016,382000
BARANDUDA,2016,350000
BARNAWARTHA,2016,245000
BARWON HEADS,2016,842500
BAXTER,2016,403000
BAYSWATER,2016,693000
BAYSWATER NORTH,2016,628000
BEACONSFIELD,2016,585000
BEACONSFIELD UPPER,2016,630000
BEAUFORT,2016,237500
BEAUMARIS,2016,1455000
BEECHWORTH,2016,345000
BELGRAVE,2016,545000
BELGRAVE HEIGHTS,2016,624000
BELGRAVE SOUTH,2016,565000
BELL PARK,2016,360000
BELL POST HILL,2016,355000
BELLFIELD (BANYULE),2016,778000
BELMONT,2016,430000
BENALLA,2016,231500
BENDIGO,2016,400000
BENTLEIGH,2016,1380000
BENTLEIGH EAST,2016,1115000
BERWICK,2016,583000
BEVERIDGE,2016,430000
BIRCHIP,2016,55000
BIRREGURRA,2016,345000
BITTERN,2016,464000
BLACK HILL,2016,315000
BLACK ROCK,2016,1745000
BLACKBURN,2016,1241000
BLACKBURN NORTH,2016,1040000
BLACKBURN SOUTH,2016,1050000
BLACKWOOD,2016,291000
BLAIRGOWRIE,2016,770000
BLIND BIGHT,2016,440000
BONBEACH,2016,778000
BONNIE DOON,2016,290000
BONSHAW,2016,322500
BOOLARRA,2016,202500
BOORT,2016,200500
BORONIA,2016,648500
BOTANIC RIDGE,2016,600000
BOX HILL,2016,1360500
BOX HILL NORTH,2016,1146000
BOX HILL SOUTH,2016,1255000
BRAYBROOK,2016,629000
BREAKWATER,2016,277500
BRIAGOLONG,2016,265000
BRIAR HILL,2016,721500
BRIGHT,2016,429500
BRIGHTON,2016,2740000
BRIGHTON EAST,2016,1750000
BROADFORD,2016,287500
BROADMEADOWS,2016,416500
BROOKFIELD,2016,360000
BROOKLYN,2016,700500
BROWN HILL,2016,338000
BRUNSWICK,2016,946000
BRUNSWICK EAST,2016,998000
BRUNSWICK WEST,2016,1005000
BRUTHEN,2016,207000
BULLEEN,2016,1170000
BUNDALONG,2016,425000
BUNDOORA,2016,651000
BUNINYONG,2016,381000
BUNYIP,2016,357500
BURNSIDE,2016,518500
BURNSIDE HEIGHTS,2016,522000
BURWOOD,2016,1219000
BURWOOD EAST,2016,1021000
CAIRNLEA,2016,608500
CALIFORNIA GULLY,2016,255000
CAMBERWELL,2016,2090000
CAMPBELLFIELD,2016,420000
CAMPBELLS CREEK,2016,426500
CAMPERDOWN,2016,217500
CANADIAN,2016,339000
CANTERBURY,2016,2620000
CAPE PATERSON,2016,358000
CAPE SCHANCK,2016,667500
CAPEL SOUND,2016,445000
CARISBROOK,2016,200000
CARLTON,2016,1050000
CARLTON NORTH,2016,1360000
CARNEGIE,2016,1348500
CAROLINE SPRINGS,2016,530000
CARRUM,2016,750000
CARRUM DOWNS,2016,430000
CASTERTON,2016,126500
CASTLEMAINE,2016,410000
CAULFIELD,2016,1715000
CAULFIELD EAST,2016,1300000
CAULFIELD NORTH,2016,2181000
CAULFIELD SOUTH,2016,1517500
CHADSTONE,2016,1017500
CHARLEMONT,2016,560000
CHARLTON,2016,160000
CHELSEA,2016,890000
CHELSEA HEIGHTS,2016,641000
CHELTENHAM,2016,940500
CHELTENHAM EAST,2016,867500
CHELTENHAM NORTH,2016,900000
CHEWTON,2016,403500
CHILTERN,2016,250000
CHIRNSIDE PARK,2016,627000
CHURCHILL,2016,182000
CLARINDA,2016,751000
CLAYTON,2016,1010500
CLAYTON NORTH,2016,1100000
CLAYTON SOUTH,2016,755000
CLIFTON HILL,2016,1220000
CLIFTON SPRINGS,2016,365000
CLUNES,2016,255000
CLYDE,2016,435000
CLYDE NORTH,2016,491000
COBBLEBANK,2016,328000
COBDEN,2016,177000
COBRAM,2016,265000
COBURG,2016,876000
COBURG EAST,2016,762500
COBURG NORTH,2016,780000
COCKATOO,2016,430000
COHUNA,2016,157500
COLAC,2016,259500
COLDSTREAM,2016,521000
COLERAINE,2016,90000
COLLINGWOOD,2016,920000
COOLAROO,2016,340000
COONANS HILL,2016,870000
COONGULLA,2016,185000
CORINELLA,2016,325000
CORIO,2016,250000
CORONET BAY,2016,266000
CORRYONG,2016,164000
COWES,2016,400000
COWES WEST,2016,353500
CRAIGIEBURN,2016,425000
CRANBOURNE,2016,406000
CRANBOURNE EAST,2016,460000
CRANBOURNE NORTH,2016,455000
CRANBOURNE SOUTH,2016,685000
CRANBOURNE WEST,2016,410000
CREMORNE,2016,1072000
CRESWICK,2016,292500
CRIB POINT,2016,402000
CROYDON,2016,695000
CROYDON HILLS,2016,730000
CROYDON NORTH,2016,790500
CROYDON SOUTH,2016,655000
CURLEWIS,2016,406500
DALLAS,2016,345000
DALYSTON,2016,255000
DANDENONG,2016,555500
DANDENONG NORTH,2016,551000
DARLEY,2016,371500
DAYLESFORD,2016,464000
DEEPDENE,2016,2600000
DEER PARK,2016,441000
DELACOMBE,2016,319000
DELAHEY,2016,458000
DENNINGTON,2016,342500
DERRIMUT,2016,530000
DIAMOND CREEK,2016,646500
DIGGERS REST,2016,360000
DIMBOOLA,2016,116000
DINGLEY VILLAGE,2016,775500
DINNER PLAIN,2016,400000
DONALD,2016,145000
DONCASTER,2016,1297500
DONCASTER EAST,2016,1230000
DONVALE,2016,970000
DOREEN,2016,470500
DOVETON,2016,405000
DROMANA,2016,583000
DROUIN,2016,347000
DRYSDALE,2016,409000
DUNKELD,2016,207500
DUNOLLY,2016,180000
EAGLE POINT,2016,267500
EAGLEHAWK,2016,270000
EAGLEMONT,2016,1895500
EAST BAIRNSDALE,2016,212500
EAST BENDIGO,2016,303500
EAST GEELONG,2016,512500
EAST MELBOURNE,2016,3655000
EAST WARBURTON,2016,369000
EASTWOOD,2016,357500
ECHUCA,2016,310000
EDENHOPE,2016,144500
EDITHVALE,2016,930000
EILDON,2016,210000
ELLIMINYT,2016,364000
ELMORE,2016,220000
ELSTERNWICK,2016,1723500
ELTHAM,2016,820000
