Suburb,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Propertycount
Albion,2,h,765000,SA,04/02/2016,13.9,3020,2,1,2,672,111,Brimbank,2185
Albion,3,h,730000,S,04/03/2017,13.9,3020,3,2,3,628,140,Brimbank,2185
Albion,2,h,730000,S,04/03/2017,13.9,3020,2,1,0,697,94,Brimbank,2185
Albion,3,h,593000,SP,04/06/2016,13.9,3020,3,2,2,605,102,Brimbank,2185
Albion,4,h,816000,S,10/09/2016,13.9,3020,4,1,2,837,156,Brimbank,2185
Albion,3,h,720000,S,10/12/2016,13.9,3020,3,1,1,706,,Brimbank,2185
Albion,2,t,300000,PI,11/02/2017,13.9,3020,2,1,1,74,,Brimbank,2185
Albion,2,h,670000,S,15/10/2016,13.9,3020,2,1,2,697,,Brimbank,2185
Albion,3,h,685000,S,18/03/2017,13.9,3020,3,1,1,697,,Brimbank,2185
Albion,2,h,600000,SP,22/05/2016,13.9,3020,2,1,1,534,90,Brimbank,2185
Albion,3,h,600000,VB,22/05/2016,13.9,3020,3,1,1,697,110,Brimbank,2185
Albion,1,u,185000,S,22/08/2016,13.9,3020,1,1,1,2347,43,Brimbank,2185
Albion,2,u,463000,S,24/09/2016,13.9,3020,3,1,1,199,,Brimbank,2185
Albion,2,t,319000,SP,24/09/2016,13.9,3020,2,1,1,0,78,Brimbank,2185
Albion,4,h,660000,S,25/02/2017,13.9,3020,4,1,1,697,,Brimbank,2185
Albion,3,u,560000,S,25/02/2017,13.9,3020,3,2,7,420,150,Brimbank,2185
Albion,3,h,625000,SP,25/02/2017,13.9,3020,3,1,0,695,,Brimbank,2185
Albion,3,h,791000,S,25/02/2017,13.9,3020,3,1,3,743,,Brimbank,2185
Albion,2,h,541000,S,27/06/2016,13.9,3020,2,1,1,497,,Brimbank,2185
Albion,3,h,760000,S,27/11/2016,13.9,3020,3,1,2,534,,Brimbank,2185
Albion,3,h,840000,S,27/11/2016,13.9,3020,3,1,0,697,153,Brimbank,2185
Albion,1,u,145000,PI,28/05/2016,13.9,3020,2,1,1,36,,Brimbank,2185
Albion,2,h,460000,S,30/07/2016,13.9,3020,2,1,2,463,85,Brimbank,2185
Albion,2,u,190000,SP,30/07/2016,13.9,3020,2,1,1,0,,Brimbank,2185
Brooklyn,3,t,430000,PI,10/09/2016,10.9,3012,3,1,1,131,,Hobsons Bay,962
Brooklyn,2,h,507000,SP,25/02/2017,10.9,3012,2,1,2,191,87,Brimbank,962
Brooklyn,3,h,892000,S,28/08/2016,10.9,3012,3,1,2,715,,Hobsons Bay,962
Glen Huntly,2,u,695000,S,04/06/2016,10.4,3163,2,2,1,0,,Glen Eira,2403
Glen Huntly,3,h,1160000,S,08/10/2016,10.4,3163,3,1,2,553,137,Glen Eira,2403
Glen Huntly,3,h,1330000,S,10/09/2016,10.4,3163,3,2,1,295,176,Glen Eira,2403
Glen Huntly,2,u,695000,S,10/09/2016,10.4,3163,2,1,1,1035,,Glen Eira,2403
Glen Huntly,2,u,812000,S,18/06/2016,10.4,3163,2,1,1,0,,Glen Eira,2403
Glen Huntly,2,u,350000,PI,18/06/2016,10.4,3163,2,1,1,0,,Glen Eira,2403
Glen Huntly,2,h,630000,S,19/11/2016,10.4,3163,2,1,1,100,,Glen Eira,2403
Glen Huntly,2,t,635000,PI,19/11/2016,10.4,3163,2,2,1,81,2,Glen Eira,2403
Glen Huntly,2,t,636500,S,22/05/2016,10.4,3163,2,1,1,0,68,Glen Eira,2403
Glen Huntly,5,h,2575000,S,22/08/2016,10.4,3163,5,3,2,688,347,Glen Eira,2403
Glen Huntly,2,u,445000,S,24/09/2016,10.4,3163,2,1,1,0,,Glen Eira,2403
Glen Huntly,2,t,710000,S,25/02/2017,10.4,3163,2,1,1,0,78,Glen Eira,2403
Glen Huntly,2,u,640000,S,26/07/2016,10.4,3163,2,1,1,1784,110,Glen Eira,2403
Oakleigh,2,h,1010000,S,04/03/2017,14,3166,2,1,2,553,,Monash,3224
Oakleigh,2,h,305000,PI,04/06/2016,14,3166,2,1,1,0,80,Monash,3224
Oakleigh,2,u,400000,PI,07/05/2016,14,3166,2,1,1,0,87,Monash,3224
Oakleigh,3,h,880000,PI,07/11/2016,14,3166,3,1,1,670,118,Monash,3224
Oakleigh,3,h,1076000,S,08/10/2016,14,3166,3,1,2,689,,Monash,3224
Oakleigh,3,h,1045000,S,11/02/2017,14,3166,3,1,2,602,107,Monash,3224
Oakleigh,2,h,600000,SP,12/06/2016,14,3166,2,1,1,211,,Monash,3224
Oakleigh,3,h,1225000,S,12/11/2016,14,3166,3,1,2,553,,Monash,3224
Oakleigh,3,h,1035000,S,12/11/2016,14,3166,3,1,2,650,,Monash,3224
Oakleigh,3,u,690000,S,15/10/2016,14,3166,3,1,2,340,103,Monash,3224
Oakleigh,3,h,1050000,SP,15/10/2016,14,3166,3,2,2,544,146,Monash,3224
Oakleigh,3,h,1045000,S,17/09/2016,14,3166,3,1,2,643,,Monash,3224
Oakleigh,3,h,865000,SP,17/09/2016,14,3166,2,1,2,691,140,Monash,3224
Oakleigh,3,h,1033000,S,18/03/2017,14,3166,3,1,2,548,115,Monash,3224
Oakleigh,4,h,991000,S,18/03/2017,14,3166,4,1,2,683,,Monash,3224
Oakleigh,4,h,1641000,S,19/11/2016,14,3166,4,1,2,802,,Monash,3224
Oakleigh,2,h,655000,S,19/11/2016,14,3166,2,1,1,156,,Monash,3224
Oakleigh,2,h,750000,PI,22/05/2016,14,3166,2,2,2,607,138,Monash,3224
Oakleigh,3,h,1025000,S,25/02/2017,14,3166,3,1,2,543,139,Monash,3224
Oakleigh,3,u,637000,S,26/07/2016,14,3166,3,1,2,119,,Monash,3224
Oakleigh,3,u,633500,S,27/06/2016,14,3166,3,2,2,279,95,Monash,3224
Oakleigh,4,h,1180000,S,27/06/2016,14,3166,4,1,2,604,183,Monash,3224
Oakleigh,3,h,1124000,S,27/06/2016,14,3166,3,1,1,685,,Monash,3224
Oakleigh,3,h,1225000,S,27/11/2016,14,3166,3,1,2,528,112,Monash,3224
Oakleigh,4,h,855000,PI,28/05/2016,14,3166,3,2,1,728,,Monash,3224
Oakleigh,5,h,1600000,PI,28/05/2016,14,3166,5,3,2,695,305,Monash,3224
Oakleigh,3,u,665000,S,30/07/2016,14,3166,3,1,1,112,,Monash,3224
Ripponlea,2,u,605000,S,07/05/2016,7.4,3185,2,1,1,722,,Port Phillip,821
Ripponlea,2,u,660000,S,12/11/2016,7.4,3185,2,1,0,477,,Port Phillip,821
Ripponlea,1,u,327000,S,18/06/2016,7.4,3185,1,1,1,486,,Port Phillip,821
Ripponlea,2,u,570000,S,19/11/2016,7.4,3185,2,1,0,785,,Port Phillip,821
Ripponlea,2,t,755000,S,27/06/2016,7.4,3185,2,2,1,66,111,Port Phillip,821
Ripponlea,4,h,1925000,PI,27/11/2016,7.4,3185,4,2,3,485,,Port Phillip,821
Ripponlea,2,u,520000,S,28/05/2016,7.4,3185,2,1,1,0,74,Port Phillip,821
Cremorne,2,h,1000000,S,04/06/2016,2.5,3121,2,1,2,176,114,Yarra,1123
Cremorne,2,h,725000,S,04/06/2016,2.5,3121,2,1,1,115,,Yarra,1123
Cremorne,1,u,425000,PI,06/08/2016,2.5,3121,1,1,1,0,52,Yarra,1123
Cremorne,3,h,1280000,S,07/11/2016,2.5,3121,3,2,2,324,165,Yarra,1123
Cremorne,2,h,1000000,S,08/10/2016,2.5,3121,2,1,0,146,,Yarra,1123
Cremorne,2,u,546000,S,08/10/2016,2.5,3121,2,1,1,0,,Yarra,1123
Cremorne,3,h,1475000,PI,10/09/2016,2.5,3121,3,2,2,324,165,Yarra,1123
Cremorne,2,h,895000,S,15/10/2016,2.5,3121,2,1,0,138,,Yarra,1123
Cremorne,1,u,405000,SP,16/07/2016,2.5,3121,1,1,1,0,,Yarra,1123
