Room,Type,Year,Count
1,House,2016,23
1,Unit,2016,232
1,TownHouse,2016,2
2,House,2016,872
2,Unit,2016,1086
2,TownHouse,2016,201
3,House,2016,3653
3,Unit,2016,356
3,TownHouse,2016,497
4,House,2016,2191
4,Unit,2016,22
4,TownHouse,2016,129
5,House,2016,454
5,Unit,2016,3
5,TownHouse,2016,3
1,House,2017,34
1,Unit,2017,348
1,TownHouse,2017,9
2,House,2017,1125
2,Unit,2017,1519
2,TownHouse,2017,351
3,House,2017,5628
3,Unit,2017,545
3,TownHouse,2017,803
4,House,2017,3325
4,Unit,2017,27
4,TownHouse,2017,208
5,House,2017,659
5,Unit,2017,1
5,TownHouse,2017,6
1,House,2018,18
1,Unit,2018,249
1,TownHouse,2018,8
2,House,2018,729
2,Unit,2018,1199
2,TownHouse,2018,278
3,House,2018,3449
3,Unit,2018,384
3,TownHouse,2018,536
4,House,2018,2056
4,Unit,2018,12
4,TownHouse,2018,157
5,House,2018,427
5,Unit,2018,1
5,TownHouse,2018,3
