Suburb ,Type,Date
Abbotsford,House,01/04/2017
Abbotsford,House,01/04/2017
Abbotsford,House,01/04/2017
Aberfeldie,House,01/04/2017
Airport West,House,01/04/2017
Airport West,Townhouse,01/04/2017
Airport West,UniTownhouse,01/04/2017
Albert Park,House,01/04/2017
Albion,UniTownhouse,01/04/2017
Albion,House,01/04/2017
Alphington,House,01/04/2017
Alphington,House,01/04/2017
Altona North,House,01/04/2017
Armadale,UniTownhouse,01/04/2017
Armadale,House,01/04/2017
Armadale,House,01/04/2017
Armadale,UniTownhouse,01/04/2017
Ascot Vale,House,01/04/2017
Ashburton,UniTownhouse,01/04/2017
Ashburton,House,01/04/2017
Ashburton,Townhouse,01/04/2017
Ashwood,House,01/04/2017
Aspendale,House,01/04/2017
Aspendale Gardens,House,01/04/2017
Balwyn,UniTownhouse,01/04/2017
Balwyn,House,01/04/2017
Bayswater North,House,01/04/2017
Beaumaris,UniTownhouse,01/04/2017
Beaumaris,House,01/04/2017
Beaumaris,House,01/04/2017
Bentleigh,House,01/04/2017
Bentleigh,House,01/04/2017
Bentleigh East,House,01/04/2017
Bentleigh East,UniTownhouse,01/04/2017
Bentleigh East,Townhouse,01/04/2017
Bentleigh East,House,01/04/2017
Bentleigh East,House,01/04/2017
Bentleigh East,House,01/04/2017
Black Rock,Townhouse,01/04/2017
Black Rock,House,01/04/2017
Blackburn,House,01/04/2017
Blackburn,House,01/04/2017
Blackburn North,House,01/04/2017
Blackburn South,UniTownhouse,01/04/2017
Bonbeach,House,01/04/2017
Braybrook,House,01/04/2017
Braybrook,House,01/04/2017
Brighton,Townhouse,01/04/2017
Brighton,House,01/04/2017
Brighton East,House,01/04/2017
Brighton East,House,01/04/2017
Brighton East,House,01/04/2017
Brighton East,House,01/04/2017
Broadmeadows,House,01/04/2017
Brunswick,House,01/04/2017
Brunswick,House,01/04/2017
Brunswick,House,01/04/2017
Brunswick,Townhouse,01/04/2017
Brunswick,House,01/04/2017
Brunswick,UniTownhouse,01/04/2017
Brunswick East,House,01/04/2017
Brunswick East,House,01/04/2017
Brunswick West,Townhouse,01/04/2017
Brunswick West,UniTownhouse,01/04/2017
Brunswick West,House,01/04/2017
Brunswick West,House,01/04/2017
Bundoora,Townhouse,01/04/2017
Bundoora,House,01/04/2017
Burwood,House,01/04/2017
Burwood East,Townhouse,01/04/2017
Burwood East,House,01/04/2017
Burwood East,UniTownhouse,01/04/2017
Camberwell,Townhouse,01/04/2017
Camberwell,House,01/04/2017
Camberwell,House,01/04/2017
Camberwell,UniTownhouse,01/04/2017
Camberwell,House,01/04/2017
Camberwell,House,01/04/2017
Carlton North,House,01/04/2017
Carlton North,House,01/04/2017
Carnegie,House,01/04/2017
Carnegie,UniTownhouse,01/04/2017
Caroline Springs,House,01/04/2017
Caroline Springs,Townhouse,01/04/2017
Carrum,House,01/04/2017
Carrum Downs,House,01/04/2017
Caulfield East,House,01/04/2017
Caulfield South,House,01/04/2017
Chadstone,House,01/04/2017
Chelsea,UniTownhouse,01/04/2017
Clayton,House,01/04/2017
Clayton,Townhouse,01/04/2017
Clayton,Townhouse,01/04/2017
Clayton South,House,01/04/2017
Clifton Hill,House,01/04/2017
Clifton Hill,House,01/04/2017
Clifton Hill,House,01/04/2017
Coburg,House,01/04/2017
Coburg,House,01/04/2017
Coburg,UniTownhouse,01/04/2017
Coburg,House,01/04/2017
Coburg North,Townhouse,01/04/2017
Collingwood,Townhouse,01/04/2017
Collingwood,UniTownhouse,01/04/2017
Craigieburn,House,01/04/2017
Craigieburn,House,01/04/2017
Craigieburn,House,01/04/2017
Craigieburn,Townhouse,01/04/2017
Cranbourne North,House,01/04/2017
Croydon,House,01/04/2017
Croydon,House,01/04/2017
Dallas,House,01/04/2017
Dandenong,House,01/04/2017
Dandenong North,UniTownhouse,01/04/2017
Deepdene,House,01/04/2017
Deer Park,House,01/04/2017
Deer Park,House,01/04/2017
Delahey,House,01/04/2017
Dingley Village,House,01/04/2017
Dingley Village,House,01/04/2017
Dingley Village,House,01/04/2017
Dingley Village,House,01/04/2017
Dingley Village,House,01/04/2017
Doncaster,House,01/04/2017
Doncaster East,House,01/04/2017
Doncaster East,Townhouse,01/04/2017
Doncaster East,Townhouse,01/04/2017
Doncaster East,House,01/04/2017
Donvale,House,01/04/2017
Eaglemont,House,01/04/2017
East Melbourne,House,01/04/2017
Edithvale,House,01/04/2017
Elsternwick,Townhouse,01/04/2017
Elsternwick,House,01/04/2017
Eltham,House,01/04/2017
Eltham,House,01/04/2017
Eltham North,House,01/04/2017
