Suburb,Rooms,Type,Price,Date,Postcode,Car,Lattitude,Longtitude,Propertycount
Abbotsford,3,h,850000,04/03/2017,3067,1,-37.7969,144.9969,4019
Abbotsford,4,h,1600000,04/06/2016,3067,2,-37.8072,144.9941,4019
Abbotsford,3,t,900000,18/03/2017,3067,2,-37.8093,144.9959,4019
Abbotsford,3,u,1090000,18/03/2017,3067,2,-37.8078,144.9965,4019
Abbotsford,2,u,500000,18/06/2016,3067,1,-37.8015,144.9972,4019
Abbotsford,3,h,1290000,25/02/2017,3067,2,-37.805,144.9943,4019
Abbotsford,3,h,1290000,25/02/2017,3067,1,-37.8007,144.9958,4019
Abbotsford,1,u,470000,26/07/2016,3067,1,-37.8055,144.9961,4019
Airport West,2,h,603000,04/03/2017,3042,1,-37.7294,144.888,3464
Airport West,3,t,700000,04/03/2017,3042,2,-37.7218,144.8837,3464
Airport West,3,h,600000,04/03/2017,3042,1,-37.7273,144.8744,3464
Airport West,2,u,500000,04/03/2017,3042,1,-37.7215,144.8864,3464
Airport West,3,h,715000,18/03/2017,3042,2,-37.7164,144.8792,3464
Airport West,3,h,790000,18/03/2017,3042,3,-37.7194,144.8827,3464
Airport West,3,h,720000,25/02/2017,3042,1,-37.72,144.878,3464
Albert Park,3,h,1850000,04/03/2017,3206,0,-37.8452,144.9488,3280
Albert Park,2,h,1436000,04/03/2017,3206,0,-37.8431,144.9565,3280
Albert Park,3,h,1900000,18/03/2017,3206,0,-37.8468,144.9546,3280
Albert Park,3,h,3010000,18/03/2017,3206,0,-37.8473,144.9551,3280
Albert Park,4,h,4735000,25/02/2017,3206,1,-37.8477,144.9558,3280
Albert Park,2,h,1340000,25/02/2017,3206,0,-37.846,144.9517,3280
Albert Park,3,h,1801000,25/02/2017,3206,1,-37.8429,144.9493,3280
Albert Park,3,h,1532000,26/07/2016,3206,1,-37.8415,144.9585,3280
Alphington,4,h,1830000,19/11/2016,3078,2,-37.7743,145.0316,2211
Altona,4,h,780000,04/06/2016,3018,4,-37.868,144.8154,5301
Altona,2,u,391000,11/02/2017,3018,1,-37.8678,144.8384,5301
Altona,2,u,440000,11/02/2017,3018,1,-37.8659,144.831,5301
Altona,4,h,845000,11/02/2017,3018,2,-37.8658,144.8155,5301
Altona,3,t,743000,12/11/2016,3018,2,-37.8698,144.816,5301
Altona,3,h,980000,19/11/2016,3018,2,-37.8672,144.817,5301
Altona,4,h,1030000,25/02/2017,3018,0,-37.8663,144.8387,5301
Altona,3,u,605000,25/02/2017,3018,2,-37.8659,144.822,5301
Altona,3,h,753000,27/06/2016,3018,2,-37.8612,144.8247,5301
Altona North,3,h,750000,04/03/2017,3025,3,-37.8449,144.85,5132
Altona North,2,t,421000,04/03/2017,3025,1,-37.8351,144.8529,5132
Altona North,3,h,1405000,04/03/2017,3025,3,-37.8338,144.8562,5132
Altona North,3,h,683000,04/06/2016,3025,2,-37.8284,144.8355,5132
Altona North,4,h,650000,12/06/2016,3025,4,-37.8451,144.8529,5132
Altona North,3,h,815000,25/02/2017,3025,3,-37.8318,144.8388,5132
Altona North,4,h,970000,25/02/2017,3025,2,-37.833,144.8494,5132
Armadale,3,h,1870000,04/03/2017,3143,1,-37.8592,145.0182,4836
Armadale,2,u,678000,04/03/2017,3143,2,-37.8538,145.0127,4836
Armadale,3,t,1918000,04/03/2017,3143,2,-37.8537,145.0267,4836
Armadale,2,u,660000,04/03/2017,3143,1,-37.8619,145.0257,4836
Armadale,3,h,2050000,04/03/2017,3143,1,-37.8574,145.0281,4836
Armadale,2,h,1900000,18/03/2017,3143,0,-37.8571,145.0224,4836
Armadale,1,u,440000,18/03/2017,3143,1,-37.8531,145.0115,4836
