Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Propertycount
Abbotsford,2,h,1480000,S,Biggin,03/12/2016,2.5,3067,2,1,1,202,,,Yarra,4019
Abbotsford,2,h,1035000,S,Biggin,04/02/2016,2.5,3067,2,1,0,156,79,1900,Yarra,4019
Abbotsford,3,h,1465000,SP,Biggin,04/03/2017,2.5,3067,3,2,0,134,150,1900,Yarra,4019
Abbotsford,3,h,850000,PI,Biggin,04/03/2017,2.5,3067,3,2,1,94,,,Yarra,4019
Abbotsford,4,h,1600000,VB,Nelson,04/06/2016,2.5,3067,3,1,2,120,142,2014,Yarra,4019
Abbotsford,2,h,941000,S,Jellis,07/05/2016,2.5,3067,2,1,0,181,,,Yarra,4019
Abbotsford,3,h,1876000,S,Nelson,07/05/2016,2.5,3067,4,2,0,245,210,1910,Yarra,4019
Abbotsford,2,h,1636000,S,Nelson,08/10/2016,2.5,3067,2,1,2,256,107,1890,Yarra,4019
Abbotsford,1,u,300000,S,Biggin,08/10/2016,2.5,3067,1,1,1,0,,,Yarra,4019
Abbotsford,2,h,1097000,S,Biggin,08/10/2016,2.5,3067,3,1,2,220,75,1900,Yarra,4019
Abbotsford,2,u,700000,VB,Jellis,12/11/2016,2.5,3067,2,2,1,0,,,Yarra,4019
Abbotsford,3,h,1350000,VB,Nelson,12/11/2016,2.5,3067,3,2,2,214,190,2005,Yarra,4019
Abbotsford,2,u,750000,S,Biggin,12/11/2016,2.5,3067,2,2,1,0,94,2009,Yarra,4019
Abbotsford,2,h,1172500,S,Biggin,13/08/2016,2.5,3067,2,1,1,195,,,Yarra,4019
Abbotsford,1,u,441000,SP,Greg,14/05/2016,2.5,3067,1,1,1,0,,,Yarra,4019
Abbotsford,2,h,1310000,S,Jellis,15/10/2016,2.5,3067,2,1,2,238,97,1890,Yarra,4019
Abbotsford,3,h,1200000,S,Jellis,16/07/2016,2.5,3067,3,2,1,113,110,1880,Yarra,4019
Abbotsford,3,h,1176500,S,LITTLE,16/07/2016,2.5,3067,2,1,1,138,105,1890,Yarra,4019
Abbotsford,3,h,955000,S,Collins,17/09/2016,2.5,3067,3,1,0,183,,,Yarra,4019
Abbotsford,2,h,890000,S,Biggin,17/09/2016,2.5,3067,2,1,1,150,73,1985,Yarra,4019
Abbotsford,4,h,1330000,PI,Kay,18/03/2017,2.5,3067,4,2,2,780,135,1900,Yarra,4019
Abbotsford,3,t,900000,S,Beller,18/03/2017,2.5,3067,3,2,2,0,,2010,Yarra,4019
Abbotsford,3,u,1090000,S,Jellis,18/03/2017,2.5,3067,3,2,2,4290,27,,Yarra,4019
Abbotsford,2,u,500000,S,Collins,18/06/2016,2.5,3067,2,1,1,0,60,1970,Yarra,4019
Abbotsford,2,h,1100000,PI,Biggin,18/06/2016,2.5,3067,2,2,1,124,135,2013,Yarra,4019
Abbotsford,2,h,1315000,S,Marshall,19/11/2016,2.5,3067,2,1,0,147,85,1900,Yarra,4019
Abbotsford,1,u,426000,SP,Greg,22/08/2016,2.5,3067,1,1,1,0,,,Yarra,4019
Abbotsford,3,h,1447500,PI,Nelson,22/08/2016,2.5,3067,3,3,1,166,174,2012,Yarra,4019
Abbotsford,1,u,457000,S,Jellis,22/08/2016,2.5,3067,1,1,1,0,50,,Yarra,4019
Abbotsford,2,h,1135000,S,Nelson,22/08/2016,2.5,3067,2,2,2,98,128,1920,Yarra,4019
Abbotsford,4,h,1542000,S,Collins,24/09/2016,2.5,3067,4,3,1,0,,,Yarra,4019
Abbotsford,3,h,1290000,S,Biggin,25/02/2017,2.5,3067,3,2,2,147,18,,Yarra,4019
Abbotsford,3,h,1290000,S,Biggin,25/02/2017,2.5,3067,3,1,1,168,124,1950,Yarra,4019
Abbotsford,1,u,470000,S,Nelson,26/07/2016,2.5,3067,1,1,1,0,50,2013,Yarra,4019
Abbotsford,2,h,1180000,S,Jellis,27/11/2016,2.5,3067,2,1,0,162,91,1900,Yarra,4019
Abbotsford,3,h,1195000,SP,Jellis,27/11/2016,2.5,3067,3,2,1,120,128,1998,Yarra,4019
Abbotsford,2,h,1012500,S,Nelson,28/05/2016,2.5,3067,2,1,0,182,82,1900,Yarra,4019
Abbotsford,2,h,1030000,S,Biggin,30/07/2016,2.5,3067,2,1,1,172,81,1930,Yarra,4019
Airport West,3,t,840000,PI,Nelson,03/09/2016,13.5,3042,3,2,1,303,225,2016,Moonee Valley,3464
Airport West,3,h,730000,VB,Nelson,03/12/2016,13.5,3042,3,2,1,0,145,1965,Moonee Valley,3464
Airport West,3,h,770000,SP,Nelson,04/03/2017,13.5,3042,3,2,1,0,145,1965,Moonee Valley,3464
Airport West,2,h,603000,S,Nelson,04/03/2017,13.5,3042,2,1,1,272,84,1950,Moonee Valley,3464
Airport West,3,t,700000,S,Brad,04/03/2017,13.5,3042,3,2,2,239,134,2009,Moonee Valley,3464
Airport West,3,h,600000,S,Maddison,04/03/2017,13.5,3042,2,1,1,290,116,1980,Moonee Valley,3464
Airport West,2,u,500000,VB,Barry,04/03/2017,13.5,3042,2,1,1,168,86,2011,Moonee Valley,3464
Airport West,3,h,720000,S,Barry,06/08/2016,13.5,3042,2,1,1,620,,,Moonee Valley,3464
Airport West,4,h,785000,S,Considine,06/08/2016,13.5,3042,3,1,2,597,127,,Moonee Valley,3464
Airport West,6,h,725000,SP,Barry,07/05/2016,13.5,3042,6,3,2,976,186,1980,Moonee Valley,3464
Airport West,2,t,450000,S,Barry,07/05/2016,13.5,3042,2,1,1,110,90,2015,Moonee Valley,3464
Airport West,2,u,515000,S,Barry,07/11/2016,13.5,3042,2,1,1,141,73,2013,Moonee Valley,3464
Airport West,2,u,530000,S,Nelson,10/09/2016,13.5,3042,2,1,1,120,94,2012,Moonee Valley,3464
Airport West,3,h,895000,PI,Rendina,10/09/2016,13.5,3042,3,1,6,1063,133,1975,Moonee Valley,3464
Airport West,3,h,805000,S,Nelson,10/12/2016,13.5,3042,3,1,1,0,105,1950,Moonee Valley,3464
Airport West,3,u,752000,S,Nelson,11/02/2017,13.5,3042,3,1,1,265,130,1993,Moonee Valley,3464
Airport West,2,u,440000,S,Barry,13/08/2016,13.5,3042,2,1,1,192,,,Moonee Valley,3464
Airport West,5,h,755000,PI,Propertyau,14/05/2016,13.5,3042,3,2,2,596,,,Moonee Valley,3464
Airport West,3,t,700000,PI,Brad,15/10/2016,13.5,3042,3,2,2,165,133,2009,Moonee Valley,3464
Airport West,3,h,830000,S,Barry,16/04/2016,13.5,3042,3,1,2,971,113,1960,Moonee Valley,3464
Airport West,2,u,462500,S,Barry,16/07/2016,13.5,3042,2,1,1,164,,2003,Moonee Valley,3464
Airport West,3,h,670000,SP,Barry,16/07/2016,13.5,3042,3,2,2,657,,,Moonee Valley,3464
Airport West,2,h,675000,S,Barry,16/07/2016,13.5,3042,2,1,1,612,100,1975,Moonee Valley,3464
Airport West,3,h,1042000,S,Nelson,16/07/2016,13.5,3042,3,2,5,612,174,1950,Moonee Valley,3464
Airport West,3,h,910000,S,McDonald,17/09/2016,13.5,3042,3,1,1,775,,,Moonee Valley,3464
Airport West,4,h,773000,S,Brad,17/09/2016,13.5,3042,5,3,4,531,309,1980,Moonee Valley,3464
Airport West,3,h,810000,PI,Barry,18/03/2017,13.5,3042,3,3,2,555,192,1980,Moonee Valley,3464
Airport West,3,h,715000,S,Rendina,18/03/2017,13.5,3042,3,2,2,422,126,1995,Moonee Valley,3464
Airport West,3,h,790000,S,Nelson,18/03/2017,13.5,3042,3,1,3,614,,,Moonee Valley,3464
Airport West,3,t,540000,SP,Nelson,18/06/2016,13.5,3042,2,2,1,161,101,2010,Moonee Valley,3464
Airport West,3,t,825000,SP,Barry,19/11/2016,13.5,3042,3,2,1,293,102,1960,Moonee Valley,3464
Airport West,3,h,685000,S,Barry,22/05/2016,13.5,3042,3,1,1,579,113,1975,Moonee Valley,3464
Airport West,3,h,805000,S,Barry,22/08/2016,13.5,3042,3,1,1,623,,,Moonee Valley,3464
Airport West,2,u,510000,S,Nelson,22/08/2016,13.5,3042,2,1,1,141,76,,Moonee Valley,3464
Airport West,3,h,612000,S,Nelson,22/08/2016,13.5,3042,3,2,1,212,,,Moonee Valley,3464
Airport West,3,h,662000,S,Brad,23/04/2016,13.5,3042,3,1,2,612,,,Moonee Valley,3464
Airport West,4,h,978000,S,Nelson,24/09/2016,13.5,3042,4,3,2,532,,,Moonee Valley,3464
Airport West,3,h,720000,PI,Nelson,25/02/2017,13.5,3042,3,1,1,585,,,Moonee Valley,3464
Airport West,4,h,765000,S,Prof.,27/11/2016,13.5,3042,4,1,2,509,,,Moonee Valley,3464
Airport West,4,h,900000,S,Harcourts,27/11/2016,13.5,3042,4,2,3,628,146,1975,Moonee Valley,3464
Albert Park,2,h,1275000,S,hockingstuart,03/09/2016,3.3,3206,2,1,0,120,82,1900,Port Phillip,3280
Albert Park,2,h,1455000,S,Thomson,03/09/2016,3.3,3206,2,1,0,159,,,Port Phillip,3280
Albert Park,3,h,2850000,PI,Buxton,04/03/2017,3.3,3206,3,2,0,211,198,1890,Port Phillip,3280
Albert Park,3,h,1850000,S,Greg,04/03/2017,3.3,3206,3,2,0,128,133,1890,Port Phillip,3280
Albert Park,2,h,1436000,S,RT,04/03/2017,3.3,3206,2,1,0,130,81,1900,Port Phillip,3280
Albert Park,2,h,1110000,S,Marshall,06/08/2016,3.3,3206,1,1,0,147,,1900,Port Phillip,3280
Albert Park,2,h,1550000,S,Sotheby's,07/05/2016,3.3,3206,2,1,1,167,,,Port Phillip,3280
Albert Park,4,h,2300000,S,Marshall,07/05/2016,3.3,3206,4,2,1,153,180,1880,Port Phillip,3280
Albert Park,3,t,1550000,VB,Marshall,07/11/2016,3.3,3206,3,2,2,718,,,Port Phillip,3280
Albert Park,3,h,1800000,VB,Greg,07/11/2016,3.3,3206,3,2,1,132,159,1996,Port Phillip,3280
Albert Park,2,h,2120000,S,Greg,10/09/2016,3.3,3206,2,1,1,199,107,1900,Port Phillip,3280
Albert Park,3,h,1800000,VB,Cayzer,10/09/2016,3.3,3206,3,1,1,253,,,Port Phillip,3280
Albert Park,3,h,1800000,S,Marshall,10/09/2016,3.3,3206,3,2,1,90,122,1900,Port Phillip,3280
Albert Park,2,h,1810000,PI,Greg,10/12/2016,3.3,3206,2,1,0,240,,,Port Phillip,3280
Albert Park,3,h,2615000,S,Cayzer,10/12/2016,3.3,3206,3,2,1,177,181,1880,Port Phillip,3280
Albert Park,5,h,2100000,S,Greg,10/12/2016,3.3,3206,5,2,1,237,,,Port Phillip,3280
Albert Park,3,h,1300000,S,hockingstuart,10/12/2016,3.3,3206,3,1,0,129,,,Port Phillip,3280
Albert Park,3,h,1370000,S,Greg,12/06/2016,3.3,3206,3,2,2,0,85,2000,Port Phillip,3280
Albert Park,2,h,1000000,S,Cayzer,12/11/2016,3.3,3206,2,1,0,288,,,Port Phillip,3280
Albert Park,3,h,2575000,S,Greg,15/10/2016,3.3,3206,3,2,1,228,,,Port Phillip,3280
Albert Park,2,h,1322500,S,Greg,15/10/2016,3.3,3206,2,1,0,149,98,1890,Port Phillip,3280
Albert Park,2,h,1562500,S,Greg,15/10/2016,3.3,3206,2,1,0,141,83,1890,Port Phillip,3280
Albert Park,3,h,2000000,VB,RT,16/04/2016,3.3,3206,3,2,1,211,147,1900,Port Phillip,3280
Albert Park,3,h,1900000,S,Greg,18/03/2017,3.3,3206,3,1,0,209,,1900,Port Phillip,3280
Albert Park,3,h,3010000,S,Greg,18/03/2017,3.3,3206,3,2,0,147,146,1890,Port Phillip,3280
Albert Park,4,h,2800000,VB,Cayzer,18/06/2016,3.3,3206,4,3,1,327,254,1910,Port Phillip,3280
Albert Park,2,u,647000,S,Greg,22/05/2016,3.3,3206,2,1,1,0,,,Port Phillip,3280
Albert Park,3,h,2100000,SP,Marshall,23/04/2016,3.3,3206,2,1,1,120,123,1900,Port Phillip,3280
Albert Park,3,h,2000000,PI,Marshall,24/09/2016,3.3,3206,3,1,1,238,131,1890,Port Phillip,3280
Albert Park,1,u,442500,S,Marshall,25/02/2017,3.3,3206,1,1,0,0,34,1970,Port Phillip,3280
Albert Park,4,h,4735000,S,Marshall,25/02/2017,3.3,3206,4,2,1,330,207,1910,Port Phillip,3280
