Suburb,Rooms,Type,Price,Method,Date,Distance,Postcode,Car,Lattitude,Longtitude,Propertycount
Abbotsford,3,h,850000,PI,04/03/2017,2.5,3067,1,-37.7969,144.9969,4019
Abbotsford,4,h,1600000,VB,04/06/2016,2.5,3067,2,-37.8072,144.9941,4019
Abbotsford,3,h,,SP,18/03/2017,2.5,3067,1,-37.8082,144.9999,4019
Abbotsford,3,t,900000,S,18/03/2017,2.5,3067,2,-37.8093,144.9959,4019
Abbotsford,3,u,1090000,S,18/03/2017,2.5,3067,2,-37.8078,144.9965,4019
Abbotsford,2,u,500000,S,18/06/2016,2.5,3067,1,-37.8015,144.9972,4019
Abbotsford,3,h,1290000,S,25/02/2017,2.5,3067,2,-37.805,144.9943,4019
Abbotsford,3,h,1290000,S,25/02/2017,2.5,3067,1,-37.8007,144.9958,4019
Abbotsford,1,u,470000,S,26/07/2016,2.5,3067,1,-37.8055,144.9961,4019
Airport West,3,h,,S,04/03/2017,13.5,3042,1,-37.7235,144.8736,3464
Airport West,2,h,603000,S,04/03/2017,13.5,3042,1,-37.7294,144.888,3464
Airport West,3,t,700000,S,04/03/2017,13.5,3042,2,-37.7218,144.8837,3464
Airport West,3,h,600000,S,04/03/2017,13.5,3042,1,-37.7273,144.8744,3464
Airport West,2,u,500000,VB,04/03/2017,13.5,3042,1,-37.7215,144.8864,3464
Airport West,2,t,420000,VB,04/06/2016,13.5,3042,,,,3464
Airport West,3,u,580000,VB,12/11/2016,13.5,3042,,,,3464
Airport West,3,h,715000,S,18/03/2017,13.5,3042,2,-37.7164,144.8792,3464
Airport West,3,h,790000,S,18/03/2017,13.5,3042,3,-37.7194,144.8827,3464
Airport West,2,t,460000,VB,18/06/2016,13.5,3042,,,,3464
Airport West,3,h,720000,PI,25/02/2017,13.5,3042,1,-37.72,144.878,3464
Airport West,2,u,474000,PI,26/07/2016,13.5,3042,,,,3464
Albert Park,3,h,1850000,S,04/03/2017,3.3,3206,0,-37.8452,144.9488,3280
Albert Park,2,h,,SP,04/03/2017,3.3,3206,0,-37.8405,144.953,3280
Albert Park,2,h,1436000,S,04/03/2017,3.3,3206,0,-37.8431,144.9565,3280
Albert Park,3,h,,SN,06/08/2016,3.3,3206,1,-37.8471,144.9561,3280
Albert Park,3,h,1900000,S,18/03/2017,3.3,3206,0,-37.8468,144.9546,3280
Albert Park,3,h,3010000,S,18/03/2017,3.3,3206,0,-37.8473,144.9551,3280
Albert Park,3,h,,SP,18/06/2016,3.3,3206,0,-37.8482,144.9513,3280
Albert Park,4,h,4735000,S,25/02/2017,3.3,3206,1,-37.8477,144.9558,3280
Albert Park,2,h,1340000,S,25/02/2017,3.3,3206,0,-37.846,144.9517,3280
Albert Park,3,h,1801000,S,25/02/2017,3.3,3206,1,-37.8429,144.9493,3280
Albert Park,3,h,1532000,S,26/07/2016,3.3,3206,1,-37.8415,144.9585,3280
